token	lemma	pos
quemadmodum	quemadmodum	ADV
et	et	CON
auditor	auditor	NN
verba	verbum	NN
praeceptoris	praeceptor	ADJ
sui	suus	PRO
percipiens	percipio	NN
,	,	$,
ea	is	PRO
secundum	secundum	AP
tenorem	tenor	NN
locutionis	locutio	NN
illius	ille	PRO
,	,	$,
ipso	ipse	PRO
volente	volo	V
,	,	$,
ostendente	ostendo	V
et	et	CON
praecipiente	praecipio	V
propalat	propalo	V
.	.	$.

sic	sic	ADV
ergo	ergo	ADV
et	et	CON
tu	tu	PRO
,	,	$,
o	o	ITJ
homo	homo	NN
,	,	$,
dic	dico	V
ea	is	PRO
quae	qui	PRO
vides	video	V
et	et	CON
audis	audio	V
:	:	$.
et	et	CON
scribe	scribo	V
ea	is	PRO
non	non	ADV
secundum	secundum	AP
te	tu	PRO
,	,	$,
nec	nec	CON
secundum	secundum	AP
alium	alius	ADJ
hominem	homo	NN
,	,	$,
sed	sed	CON
secundum	secundum	AP
voluntatem	voluntas	NN
scientis	scio	V
,	,	$,
videntis	video	V
et	et	CON
disponentis	dispono	NN
omnia	omnis	ADJ
in	in	AP
secretis	secretum	NN
mysteriorum	mysterium	NN
suorum	suus	PRO
.	.	$.

et	et	CON
iterum	iterum	ADV
audivi	audio	V
vocem	vox	NN
de	de	AP
coelo	coel	NN
mihi	ego	PRO
dicentem	dico	V
:	:	$.
dic	dico	V
ergo	ergo	ADV
mirabilia	mirabilis	ADJ
haec	hic	PRO
,	,	$,
et	et	CON
scribe	scribo	V
ea	is	PRO
hoc	hic	PRO
modo	modus	NN
edocta	edoctus	V
,	,	$,
et	et	CON
dic	dico	V
.	.	$.

actum	ago	V
est	sum	V
in	in	AP
millesimo	millesimus	NN
centesimo	centesimus	ORD
quadragesimo	quadragesimus	ORD
primo	primus	ORD
filii	filius	NN
dei	deus	NN
jesu	jesus	NP
christi	christus	NP
incarnationis	incarnatio	NN
anno	annus	NN
,	,	$,
cum	cum	CON
quadraginta	quadraginta	NUM
duorum	duo	ADJ
annorum	annus	NN
septemque	septem	NN
mensium	mensis	NN
essem	essimo	NN
,	,	$,
maximae	magnus	ADJ
coruscationis	coruscatio	NN
igneum	igneus	ADJ
lumen	lumen	NN
aperto	apertus	ADJ
coelo	coel	NN
veniens	venio	V
,	,	$,
totum	totus	ADJ
cerebrum	cereber	NN
meum	meus	PRO
transfudit	transfudio	V
,	,	$,
et	et	CON
totum	totus	ADJ
cor	cor	NN
totumque	totus	ADJ
pectus	pectus	NN
meum	meus	PRO
velut	velut	ADV
flamma	flamma	NN
non	non	ADV
tamen	tamen	ADV
ardens	ardeo	V
,	,	$,
sed	sed	CON
calens	caleo	V
ita	ita	ADV
inflammavit	inflammo	V
,	,	$,
ut	ut	CON
sol	sol	NN
rem	res	NN
aliquam	aliqui	PRO
calefacit	calefacio	V
super	super	AP
quam	quam	CON
radios	radius	NN
suos	suus	PRO
immittit	immitto	V
.	.	$.

et	et	CON
repente	repens	ORD
intellectum	intellectus	NN
expositionis	expositio	NN
librorum	liber	NN
videlicet	videlicet	ADV
psalterii	psalterium	NN
,	,	$,
evangeliorum	evangelium	NE
et	et	CON
aliorum	alius	PRO
catholicorum	catholicus	ADJ
tam	tam	ADV
veteris	vetus	NN
quam	quam	ADV
novi	novus	ADJ
testamenti	testamentum	NN
voluminum	volumen	NN
sapiebam	sapies	NN
,	,	$,
non	non	ADV
autem	autem	CON
interpretationem	interpretatio	NN
verborum	verbum	NN
textus	textus	NN
eorum	is	PRO
,	,	$,
nec	nec	CON
divisionem	divisio	NN
syllabarum	syllabaro	ADJ
,	,	$,
nec	nec	CON
cognitionem	cognitio	NN
casuum	casus	NN
aut	aut	CON
temporum	tempus	NN
callebam	calleo	NN
.	.	$.

virtutem	virtus	NN
autem	autem	CON
mysteriorum	mysterium	NN
,	,	$,
secretarum	secretus	NE
et	et	CON
admirandarum	admiro	ADJ
visionum	visio	NN
a	ab	AP
puellari	puello	V
aetate	aetas	NN
,	,	$,
scilicet	scilicet	ADV
a	ab	AP
tempore	tempus	NN
illo	ille	PRO
cum	cum	CON
quinquennis	quinquennis	V
essem	sum	NN
usque	usque	AP
ad	ad	ADV
praesens	praesens	NN
tempus	tempus	NN
,	,	$,
mirabili	mirabilis	ADJ
modo	modo	NN
in	in	AP
me	ego	PRO
senseram	sensero	V
,	,	$,
sicut	sicut	CON
et	et	CON
adhuc	adhuc	ADV
:	:	$.
quod	quod	CON
tamen	tamen	ADV
nulli	nullus	PRO
hominum	homo	NN
exceptis	exceptus	NN
quibusdam	quidam	PRO
paucis	paucus	ADJ
et	et	CON
religiosis	religiosus	ADJ
qui	qui	PRO
in	in	AP
eadem	idem	PRO
conversatione	conversatio	NN
vivebant	vivo	V
qua	quis	PRO
et	et	CON
ego	ego	NE
eram	sum	V
,	,	$,
manifestavi	manifesto	V
,	,	$,
sed	sed	CON
interim	interim	ADV
usque	usque	AP
ad	ad	ADV
id	is	PRO
temporis	tempus	NN
quo	qui	CON
illud	ille	PRO
deus	deus	NN
sua	suus	PRO
gratia	gratia	NN
manifestari	manifesto	V
voluit	volo	V
,	,	$,
sub	sub	AP
quieto	quietus	ADJ
silentio	silentium	NN
compressi	compredior	V
.	.	$.

visiones	visio	NN
vero	vero	CON
quas	qui	PRO
vidi	video	V
:	:	$.
non	non	ADV
eas	eo	V
in	in	AP
somnis	somnus	NN
,	,	$,
nec	nec	CON
dormiens	dormio	V
,	,	$,
nec	nec	CON
in	in	AP
phrenesi	phrenesus	NN
,	,	$,
nec	nec	CON
corporeis	corporeus	ADJ
oculis	oculus	NN
aut	aut	CON
auribus	auris	NN
exterioris	exter	ADJ
hominis	homo	NN
,	,	$,
nec	nec	CON
in	in	AP
abditis	abditus	NN
locis	locus	NN
percepi	percipio	V
,	,	$,
sed	sed	CON
eas	is	PRO
vigilans	vigilo	V
,	,	$,
circumspiciens	circumspicio	V
in	in	AP
pura	purus	ADJ
mente	mens	NN
oculis	oculus	NN
et	et	CON
auribus	auris	NN
interioris	interior	NN
hominis	homo	NN
,	,	$,
in	in	AP
apertis	apertus	ADJ
locis	locus	NN
secundum	secundum	AP
voluntatem	voluntas	NN
dei	deus	NN
accepi	accipio	V
.	.	$.

quod	quod	PRO
quomodo	quomodo	ADV
sit	sum	V
,	,	$,
carnali	carnalis	ADJ
homini	homo	NN
perquirere	perquiro	V
difficile	difficilis	ADJ
est	sum	V
.	.	$.

sed	sed	CON
puellari	puello	V
meta	metus	NN
transacta	transigo	V
:	:	$.
cum	cum	CON
ad	ad	ADV
praefatam	praefatus	ADJ
aetatem	aetas	NN
perfectae	perfectus	V
fortitudinis	fortitudo	NN
pervenissem	pervenio	ADJ
,	,	$,
audivi	audio	V
vocem	vox	NN
de	de	AP
coelo	coel	NN
dicentem	dico	V
:	:	$.
ego	ego	NE
lux	lux	NN
vivens	vivo	V
,	,	$,
et	et	CON
obscura	obscura	V
illuminans	illumino	V
;	;	$.
hominem	homo	NN
quem	qui	PRO
volui	volo	NP
,	,	$,
et	et	CON
quem	qui	PRO
mirabiliter	mirabiliter	ADV
secundum	secundum	AP
quod	quod	CON
mihi	ego	PRO
placuit	placeo	V
excussi	excutio	V
in	in	AP
magnis	magnus	ADJ
mirabilibus	mirabilis	V
ultra	ultra	AP
modum	modus	NN
antiquorum	antiquus	ADJ
hominum	homo	NN
qui	qui	PRO
in	in	AP
me	ego	PRO
multa	multus	ADJ
secreta	secretum	NN
viderunt	video	V
posui	pono	V
;	;	$.
sed	sed	CON
in	in	AP
terram	terra	NN
stravi	stro	V
illum	ille	PRO
,	,	$,
ut	ut	CON
se	sui	PRO
non	non	ADV
erigeret	erigo	V
in	in	AP
ulla	ullus	PRO
elatione	elatio	NN
mentis	mens	NN
suae	suus	PRO
.	.	$.

mundus	mundus	NN
quoque	quoque	ADV
non	non	ADV
habuit	habeo	V
in	in	AP
eo	is	PRO
gaudium	gaudium	NN
,	,	$,
nec	nec	CON
delectationem	delectatio	NN
,	,	$,
nec	nec	CON
exercitationem	exercitatio	NN
in	in	AP
rebus	res	NN
illis	ille	PRO
quae	qui	PRO
ad	ad	ADV
ipsum	ipse	PRO
pertinent	pertineo	V
,	,	$,
quia	quia	CON
eum	is	PRO
de	de	AP
pertinaci	pertinacus	ADJ
audacia	audacium	NN
abstraxi	abstraxus	V
,	,	$,
timorem	timor	NN
habentem	habeo	V
,	,	$,
et	et	CON
in	in	AP
laboribus	labor	NN
suis	suus	PRO
paventem	paveo	V
.	.	$.

ipse	ipse	PRO
enim	enim	CON
in	in	AP
medullis	medullus	NN
et	et	CON
in	in	AP
venis	vena	NN
carnis	caro	NN
suae	suus	PRO
doluit	dolo	V
:	:	$.
constrictum	constringo	V
animum	animus	NN
et	et	CON
sensum	sensus	NN
habens	habeo	V
,	,	$,
atque	atque	CON
multam	multus	ADJ
passionem	passio	NN
corporis	corpus	NN
sufferens	suffero	NN
,	,	$,
ita	ita	ADV
quod	quod	CON
in	in	AP
eo	is	PRO
nulla	nullus	PRO
securitas	securitas	NN
habitavit	habito	V
,	,	$,
sed	sed	CON
in	in	AP
omnibus	omnis	ADJ
causis	causa	NN
suis	suus	PRO
se	sui	PRO
culpabilem	culpabilis	NN
aestimavit	aestimo	V
.	.	$.

nam	nam	CON
ruinas	ruina	NN
cordis	cor	NN
ejus	is	PRO
circumsepsi	circumsepsio	V
,	,	$,
ne	ne	CON
mens	mens	NN
ipsius	ipse	PRO
per	per	AP
superbiam	superbia	NN
aut	aut	CON
per	per	AP
vanam	vanus	ADJ
gloriam	gloria	NN
se	sui	PRO
elevaret	elevo	V
,	,	$,
sed	sed	CON
magis	magis	ADV
in	in	AP
omnibus	omnis	ADJ
his	hic	PRO
timorem	timor	NN
et	et	CON
dolorem	dolor	NN
quam	qui	ADV
gaudium	gaudium	NN
aut	aut	CON
petulantiam	petulantia	NN
sentiret	sentio	V
.	.	$.

unde	unde	ADV
in	in	AP
amore	amor	NN
meo	meus	PRO
scrutatus	scruto	V
est	sum	V
in	in	AP
animo	animus	NN
suo	suus	NN
,	,	$,
ubi	ubi	CON
illum	ille	PRO
inveniret	invenio	V
qui	qui	PRO
viam	via	NN
salutis	salus	NN
curreret	curro	V
.	.	$.

et	et	CON
quemdam	quidam	PRO
invenit	invenio	V
et	et	CON
eum	is	PRO
amavit	amo	V
,	,	$,
agnoscens	agnosco	V
quod	quod	CON
fidelis	fidelis	ADJ
homo	homo	NN
esset	sum	V
et	et	CON
similis	similis	ADJ
sibi	sui	PRO
in	in	AP
aliqua	aliqui	PRO
parte	pars	NN
laboris	labor	NN
illius	ille	PRO
qui	qui	PRO
ad	ad	AP
me	ego	PRO
tendit	tendo	V
,	,	$,
tenensque	teneo	V
eum	is	PRO
simul	simul	ADV
cum	cum	AP
illo	ille	PRO
in	in	AP
omnibus	omnis	ADJ
his	hic	PRO
per	per	AP
supernum	supernus	ADJ
studium	studium	NN
contendit	contendo	V
,	,	$,
ut	ut	CON
absconsa	abscondo	ADJ
miracula	miraculum	NN
mea	meus	PRO
revelarentur	revelo	V
.	.	$.

et	et	CON
idem	idem	PRO
homo	homo	NN
super	super	AP
semetipsum	semetipse	PRO
se	sui	PRO
non	non	ADV
extulit	effero	V
,	,	$,
sed	sed	CON
ad	ad	AP
illum	ille	PRO
in	in	AP
ascensionem	ascensio	NN
humilitatis	humilitas	NN
et	et	CON
in	in	AP
intentione	intentio	NN
bonae	bonus	ADJ
voluntatis	voluntas	NN
quem	qui	PRO
invenit	invenio	V
,	,	$,
se	sui	PRO
in	in	AP
multis	multus	ADJ
suspiriis	suspirium	NN
inclinavit	inclino	V
.	.	$.

tu	tu	PRO
ergo	ergo	ADV
,	,	$,
o	o	ITJ
homo	homo	NN
,	,	$,
qui	qui	PRO
haec	hic	PRO
non	non	ADV
in	in	AP
inquietudine	inquietudo	NN
deceptionis	deceptio	NN
,	,	$,
sed	sed	CON
in	in	AP
puritate	puritas	NN
simplicitatis	simplicito	V
accipis	accipio	NN
ad	ad	AP
manifestationem	manifestatio	NN
absconditorum	abscondo	NN
directa	dirigo	V
,	,	$,
scribe	scribeo	V
quae	qui	PRO
vides	video	V
et	et	CON
audis	audio	V
.	.	$.

sed	sed	CON
ego	ego	NE
,	,	$,
quamvis	quamvis	ADV
haec	hic	PRO
viderem	video	ADJ
et	et	CON
audirem	audio	ADJ
,	,	$,
tamen	tamen	ADV
propter	propter	AP
dubietatem	dubietas	NN
et	et	CON
malam	malus	ADJ
opinionem	opinio	NN
,	,	$,
et	et	CON
propter	propter	AP
diversitatem	diversitas	NN
verborum	verbum	NN
hominum	homo	NN
,	,	$,
tandiu	tandium	V
non	non	ADV
in	in	AP
pertinacia	pertinacium	NN
,	,	$,
sed	sed	CON
in	in	AP
humilitatis	humilitas	NN
officio	officium	NN
scribere	scribo	V
recusavi	recuso	V
,	,	$,
quousque	quousque	ADV
in	in	AP
lectum	lectus	NN
aegritudinis	aegritudo	V
,	,	$,
flagello	flagello	V
dei	deus	NN
depressa	depredior	V
caderem	cado	NN
,	,	$,
ita	ita	ADV
quod	quod	CON
tandem	tandem	ADV
multis	multus	ADJ
infirmitatibus	infirmitas	NN
compulsa	compello	V
:	:	$.
testimonio	testimonium	NN
cujusdam	quidam	NN
nobilis	nobilis	ADJ
et	et	CON
bonorum	bonus	ADJ
morum	mos	NN
puellae	puella	NN
et	et	CON
hominis	homo	NN
illius	ille	PRO
quem	qui	PRO
occulte	occulte	ADV
(	(	$(
ut	ut	CON
praefatum	praefatus	V
est	sum	V
)	)	$(
quaesieram	quaesiera	NN
et	et	CON
inveneram	invenio	NN
,	,	$,
manus	manus	NN
ad	ad	ADV
scribendum	scribo	V
apposui	appono	NE
.	.	$.

quod	quod	CON
dum	dum	ADV
facerem	facio	V
,	,	$,
altam	altus	ADJ
profunditatem	profunditas	NN
expositionis	expositio	NN
librorum	liber	NN
,	,	$,
ut	ut	CON
praedixi	praedico	V
,	,	$,
sentiens	sentiens	NN
,	,	$,
viribusque	vis	V
receptis	reciptus	V
de	de	AP
aegritudine	aegritudo	NN
me	ego	PRO
erigens	erigo	V
:	:	$.
vix	vix	ADV
opus	opus	NN
istud	iste	PRO
decem	decem	NUM
annis	annus	NN
consumans	consumo	V
ad	ad	ADV
finem	finis	NN
perduxi	perduco	V
.	.	$.

in	in	AP
diebus	dies	NN
autem	autem	CON
henrici	henricus	ADJ
moguntini	moguntinus	NP
archiepiscopi	archiepiscopus	NN
et	et	CON
conradi	corradus	NN
romanorum	romanus	NP
regis	rex	NN
et	et	CON
cunonis	cunonis	NN
abbatis	abbas	NN
in	in	AP
monte	mons	NN
beati	beatus	ADJ
disibodi	disibodus	NP
pontificis	pontifex	NN
,	,	$,
sub	sub	AP
papa	papa	NN
eugenio	eugenium	NP
,	,	$,
hae	hic	PRO
visiones	visio	NN
et	et	CON
verba	verbum	NN
facta	facio	V
sunt	sum	V
.	.	$.

et	et	CON
dixi	dico	V
et	et	CON
scripsi	scribo	V
haec	hic	PRO
,	,	$,
non	non	ADV
secundum	secundum	AP
adinventionem	adinventio	NN
cordis	cor	NN
mei	meus	PRO
aut	aut	CON
ullius	ullus	PRO
hominis	homo	NN
,	,	$,
sed	sed	CON
ut	ut	CON
ea	is	PRO
in	in	AP
coelestibus	caelestis	NN
vidi	video	V
,	,	$,
audivi	audio	V
et	et	CON
percepi	percipio	V
per	per	AP
secreta	secretum	NN
mysteria	mysterium	NN
dei	deus	NN
.	.	$.

et	et	CON
iterum	iterum	ADV
audivi	audio	V
vocem	vox	NN
de	de	AP
coelo	coel	NN
mihi	ego	PRO
dicentem	dico	V
:	:	$.
clama	clamo	V
ergo	ergo	ADV
et	et	CON
scribe	scribo	NN
sic	sic	ADV
.	.	$.

vidi	video	V
quasi	quasi	CON
montem	mons	NN
magnum	magnus	NN
,	,	$,
ferreum	ferreum	ADJ
colorem	color	NN
habentem	habeo	V
,	,	$,
et	et	CON
super	super	AP
ipsum	ipse	PRO
quemdam	quidam	PRO
tantae	tantus	ADJ
claritatis	claritas	NN
sedentem	sedeo	V
,	,	$,
ut	ut	CON
claritas	claritas	NN
ipsius	ipse	PRO
visum	visum	NN
meum	meus	PRO
hebetaret	hebeto	V
,	,	$,
a	ab	AP
quo	qui	PRO
ex	ex	AP
utraque	uterque	PRO
parte	pars	NN
sui	suus	PRO
,	,	$,
lenis	lena	NN
umbra	umbrum	V
velut	velut	ADV
ala	ala	PRO
mirae	mirus	ADJ
latitudinis	latitudo	NN
et	et	CON
longitudinis	longitudo	NN
porrigebatur	porrigo	V
.	.	$.

et	et	CON
ante	ante	AP
ipsum	ipse	PRO
ad	ad	AP
radicem	radix	NN
ejusdem	idem	PRO
montis	mons	NN
quaedam	quidam	PRO
imago	imago	NN
undique	undique	ADV
plena	plenus	ADJ
oculis	oculus	NN
stabat	sto	V
,	,	$,
cujus	qui	PRO
nullam	nullus	PRO
humanam	humanus	ADJ
formam	forma	NN
prae	prae	AP
oculorum	oculus	NN
multitudine	multitudo	NN
discernere	discerno	V
valebam	valeba	NN
,	,	$,
et	et	CON
ante	ante	AP
istam	iste	PRO
,	,	$,
imago	imago	NN
alia	alius	PRO
puerilis	puerilis	NN
aetatis	aetas	NN
,	,	$,
pallida	pallidus	NN
veste	vestis	NN
,	,	$,
sed	sed	CON
albis	albus	ADJ
calceamentis	calceamentum	NN
induta	indutus	V
,	,	$,
super	super	AP
cujus	qui	PRO
caput	caput	NN
tanta	tantus	PRO
claritas	claritas	NN
de	de	AP
eo	is	PRO
qui	qui	PRO
super	super	AP
montem	mons	NN
ipsum	ipse	PRO
sedebat	sedeo	V
descendit	descendo	V
,	,	$,
ut	ut	CON
faciem	facies	NN
ejus	is	PRO
intueri	intueor	V
non	non	ADV
valerem	valeo	V
,	,	$,
sed	sed	CON
ab	ab	AP
eodem	idem	PRO
qui	qui	PRO
super	super	AP
montem	mons	NN
illum	ille	PRO
sedebat	sedeo	V
:	:	$.
multae	multus	ADJ
viventes	vivo	V
scintillae	scintilla	NE
prodibant	prodo	V
,	,	$,
quae	qui	PRO
easdem	idem	PRO
imagines	imago	NN
magna	magnus	ADJ
suavitate	suavitas	NN
circumvolabant	circumvolo	V
.	.	$.

in	in	AP
ipso	ipse	PRO
autem	autem	CON
monte	mons	NN
quasi	quasi	CON
plurimae	multima	ADJ
fenestellae	fenestella	NN
cernebantur	cerno	V
,	,	$,
in	in	AP
quibus	qui	PRO
velut	velut	ADV
capita	caput	NN
hominum	homo	NN
,	,	$,
quaedam	quidam	PRO
pallida	pallidus	V
et	et	CON
quaedam	quidam	PRO
alba	albus	ADJ
apparuerunt	appareo	V
.	.	$.

et	et	CON
ecce	ecce	ITJ
qui	qui	PRO
super	super	AP
montem	mons	NN
sedebat	sedeo	V
,	,	$,
fortissima	fors	NN
et	et	CON
penetrantissima	penetrans	ADJ
voce	vox	NN
clamabat	clamo	V
,	,	$,
dicens	dico	V
:	:	$.
o	o	ITJ
homo	homo	NN
fragilis	fragilis	ADJ
pulvis	pulvus	NN
de	de	AP
pulvere	pulvis	NN
terrae	terra	NN
,	,	$,
et	et	CON
cinis	cinis	NN
de	de	AP
cinere	ciner	NN
,	,	$,
clama	clama	NE
et	et	CON
dic	dico	V
de	de	AP
introitu	introeo	V
incorruptae	incorruptus	NN
salvationis	salvatio	NN
:	:	$.
quatenus	quatenus	ADV
ii	numeral	NUM
erudiantur	erudio	V
qui	qui	PRO
medullam	medullus	NN
scripturarum	scriptura	NN
videntes	video	V
,	,	$,
eam	is	PRO
nec	nec	CON
dicere	dico	V
,	,	$,
nec	nec	CON
praedicare	praedico	V
volunt	volo	V
,	,	$,
quia	quia	CON
tepidi	tepideo	NN
et	et	CON
hebetes	hebeo	NN
ad	ad	ADV
conservandam	conservo	V
justitiam	iustitia	NN
dei	deus	NN
sunt	sum	V
,	,	$,
quibus	qui	PRO
clausuram	clausura	NN
mysteriorum	mysterium	NN
resera	resero	V
:	:	$.
quam	qui	CON
ipsi	ipse	PRO
timidi	timido	V
in	in	AP
abscondito	absconditus	NN
agro	ager	NN
sine	sine	AP
fructu	fructus	NN
celant	celo	V
.	.	$.

ergo	ergo	ADV
in	in	AP
fontem	fons	NN
abundantiae	abundantia	NN
ita	ita	ADV
dilatare	dilato	V
,	,	$,
et	et	CON
ita	ita	ADV
in	in	AP
mystica	mysticum	ADJ
eruditione	eruditio	NN
efflue	effluus	V
,	,	$,
ut	ut	CON
illi	ille	PRO
ab	ab	AP
effusione	effusio	NN
irrigationis	irrigatio	NN
tuae	tuus	PRO
concutiantur	concutio	V
,	,	$,
qui	qui	PRO
te	tu	PRO
propter	propter	AP
praevaricationem	praevaricatio	NN
evae	eva	NE
volunt	volo	V
contemptibilem	contemptibilis	ADJ
esse	sum	V
.	.	$.

nam	nam	CON
tu	tu	PRO
acumen	acumen	NN
hujus	hic	PRO
profunditatis	profundito	NN
ab	ab	AP
homine	homo	NN
non	non	ADV
capis	capio	V
,	,	$,
sed	sed	CON
a	ab	AP
superno	supernus	ADJ
et	et	CON
tremendo	tremo	V
judice	iudex	V
illud	ille	PRO
desuper	desuper	AP
accipis	accipio	NN
,	,	$,
ubi	ubi	CON
praeclara	praeclarus	ADJ
luce	lux	NN
haec	hic	PRO
serenitas	serenitas	NN
inter	inter	AP
lucentes	lucens	ADJ
fortiter	fortiter	ADV
lucebit	luceo	V
.	.	$.

surge	surgo	V
ergo	ergo	ADV
,	,	$,
clama	clama	ADJ
et	et	CON
dic	dico	NE
:	:	$.
quae	qui	PRO
tibi	tu	PRO
fortissima	fors	ADJ
virtute	virtus	NN
divini	divinus	ADJ
auxilii	auxilium	NN
manifestantur	manifesto	V
,	,	$,
quoniam	quoniam	CON
ille	ille	PRO
qui	qui	PRO
omni	omnis	ADJ
creaturae	creatura	NN
suae	suus	PRO
potenter	potenter	V
et	et	CON
benigne	benigne	ADV
imperat	impero	V
,	,	$,
ipsum	ipse	PRO
timentes	timeo	V
et	et	CON
ipsi	ipse	PRO
suavi	suavus	ADJ
dilectione	dilectio	NN
in	in	AP
spiritu	spiritus	NN
humilitatis	humilitas	NN
famulantes	famulor	V
,	,	$,
claritate	claritas	NN
supernae	supernus	ADJ
illustrationis	illustratio	NN
perfundit	perfundo	V
,	,	$,
et	et	CON
ad	ad	ADV
gaudia	gaudium	NN
aeternae	aeternus	ADJ
visionis	visio	NN
in	in	AP
via	via	NN
justitiae	iustitia	NN
perseverantes	persevero	V
perducit	perduco	V
.	.	$.

unde	unde	ADV
etiam	etiam	CON
,	,	$,
ut	ut	CON
vides	vides	V
,	,	$,
mons	mons	NN
iste	iste	PRO
magnus	magnus	ADJ
ferreum	ferreum	ADJ
colorem	color	NN
habens	habeo	V
,	,	$,
designat	designo	V
fortitudinem	fortitudo	NN
et	et	CON
stabilitatem	stabilitas	NN
aeternitatis	aeternitas	V
regni	regnum	NN
dei	deus	NN
;	;	$.
quae	qui	PRO
nullo	nullus	PRO
impulsu	impulsus	NN
labentis	labentum	V
mutabilitatis	mutabilitas	NN
potest	possum	V
exterminari	extermino	V
,	,	$,
et	et	CON
super	super	AP
ipsum	ipse	PRO
quidam	quidam	PRO
tantae	tantus	ADJ
claritatis	claritas	NN
sedens	sedeo	NN
,	,	$,
ut	ut	CON
claritas	claritas	NN
ipsius	ipse	PRO
visum	video	NN
tuum	tuus	PRO
hebetaret	hebeto	V
:	:	$.
ostendit	ostendo	V
in	in	AP
regno	regnum	NN
beatitudinis	beatitudo	NN
,	,	$,
ipsum	ipse	PRO
qui	qui	PRO
in	in	AP
fulgore	fulgor	NN
indeficientis	indeficio	NN
serenitatis	serenitas	NN
toti	totus	ADJ
orbi	orbis	NP
terrarum	terra	NN
imperans	impero	NN
superna	supernus	ADJ
divinitate	divinitas	NN
,	,	$,
humanis	humanus	ADJ
mentibus	mens	NN
incomprehensibilis	incomprehensibilis	V
est	sum	V
.	.	$.

sed	sed	CON
ab	ab	AP
utraque	uterque	PRO
parte	pars	NN
sui	suus	PRO
lenis	lenum	NN
umbra	umbrum	V
velut	velut	ADV
ala	ala	PRO
mirae	mirus	ADJ
latitudinis	latitudo	NN
et	et	CON
longitudinis	longitudo	NN
extenditur	extendo	V
:	:	$.
quod	quod	CON
est	sum	V
et	et	CON
in	in	AP
admonitione	admonitio	NN
et	et	CON
in	in	AP
castigatione	castigatio	NN
beatae	beatus	ADJ
defensionis	defensio	NN
suavis	suavus	ADJ
et	et	CON
lenis	lenus	ADJ
protectio	protectio	NN
,	,	$,
ineffabilem	ineffabilis	ADJ
justitiam	iustitia	NN
in	in	AP
perseverantiam	perseverantia	NN
verae	verus	ADJ
aequitatis	aequitas	NN
juste	iuste	ADV
et	et	CON
pie	pius	ADJ
demonstrans	demonstro	V
.	.	$.

et	et	CON
ante	ante	AP
ipsum	ipse	PRO
ad	ad	AP
radicem	radix	NN
ejusdem	idem	PRO
montis	mons	NN
quaedam	quidam	PRO
imago	imago	NN
undique	undique	ADV
plena	plenus	ADJ
oculis	oculus	NN
stat	sto	V
,	,	$,
quia	quia	CON
coram	coram	AP
deo	deus	NN
in	in	AP
humilitate	humilitas	NN
regnum	regnum	NN
dei	deus	NN
inspiciens	inspicio	V
timore	timor	NN
domini	dominus	NN
vallatus	vallo	V
perspicuitate	perspicuitas	NN
bonae	bonus	ADJ
et	et	CON
justae	iustus	ADJ
intentionis	intentio	NN
studium	studium	NN
et	et	CON
stabilitatem	stabilitas	NN
suam	suus	PRO
in	in	AP
hominibus	homo	NN
exercet	exerceo	V
,	,	$,
ita	ita	ADV
quod	quod	CON
